setup,platform_schema,signal_name,scope,metric,physical_meaning,source_interface,unit,measurement_status,requested_interval_s,historical_source_status,analysis_missing_value_treatment
A,DDR4,Core2 (Socket 0).19_TIME(ticks),"Core 2, socket 0",TIME(ticks),Invariant timestamp counter ticks during the reporting interval,Intel PCM CSV,million ticks,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core2 (Socket 0).20_PhysIPC,"Core 2, socket 0",PhysIPC,Instructions retired per physical core cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core2 (Socket 0).21_PhysIPC%,"Core 2, socket 0",PhysIPC%,Physical core IPC as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core2 (Socket 0).22_INSTnom,"Core 2, socket 0",INSTnom,Total instruction execution rate normalized to nominal cycles,Intel PCM CSV,instructions/nominal cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core2 (Socket 0).23_INSTnom%,"Core 2, socket 0",INSTnom%,Normalized instruction execution rate as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0)_EXEC,"Core 3, socket 0",EXEC,Instructions retired per nominal CPU cycle,Intel PCM CSV,ratio,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).1_IPC,"Core 3, socket 0",IPC,Instructions retired per unhalted CPU cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).2_FREQ,"Core 3, socket 0",FREQ,Unhalted clock ticks divided by invariant timer ticks,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).3_AFREQ,"Core 3, socket 0",AFREQ,Unhalted clock ticks divided by invariant timer ticks while the core is in C0,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).4_CFREQ,"Core 3, socket 0",CFREQ,Average active core frequency,Intel PCM CSV,GHz,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).5_L3MISS,"Core 3, socket 0",L3MISS,L3 read cache misses during the reporting interval,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).6_L2MISS,"Core 3, socket 0",L2MISS,L2 read cache misses during the reporting interval; the PCM definition may include hits in another core's L2,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).7_L3HIT,"Core 3, socket 0",L3HIT,L3 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).8_L2HIT,"Core 3, socket 0",L2HIT,L2 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).9_L3MPI,"Core 3, socket 0",L3MPI,L3 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).10_L2MPI,"Core 3, socket 0",L2MPI,L2 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).11_C0res%,"Core 3, socket 0",C0res%,Residency in processor power state C0 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).12_C1res%,"Core 3, socket 0",C1res%,Residency in processor power state C1 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).13_C3res%,"Core 3, socket 0",C3res%,Residency in processor power state C3 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).14_C6res%,"Core 3, socket 0",C6res%,Residency in processor power state C6 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).15_C7res%,"Core 3, socket 0",C7res%,Residency in processor power state C7 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).16_TEMP,"Core 3, socket 0",TEMP,Thermal headroom relative to TjMax; zero corresponds to the maximum junction temperature,Intel PCM CSV,degree Celsius below TjMax,processor thermal sensor reported by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).17_INST,"Core 3, socket 0",INST,Retired instructions during the reporting interval,Intel PCM CSV,million instructions,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).18_ACYC,"Core 3, socket 0",ACYC,Unhalted core cycles during the reporting interval,Intel PCM CSV,million cycles,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).19_TIME(ticks),"Core 3, socket 0",TIME(ticks),Invariant timestamp counter ticks during the reporting interval,Intel PCM CSV,million ticks,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).20_PhysIPC,"Core 3, socket 0",PhysIPC,Instructions retired per physical core cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).21_PhysIPC%,"Core 3, socket 0",PhysIPC%,Physical core IPC as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).22_INSTnom,"Core 3, socket 0",INSTnom,Total instruction execution rate normalized to nominal cycles,Intel PCM CSV,instructions/nominal cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core3 (Socket 0).23_INSTnom%,"Core 3, socket 0",INSTnom%,Normalized instruction execution rate as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,CPU Voltage,System,CPU Voltage,Voltage encoded in bits 47:32 of MSR 0x198 and converted as encoded value divided by 8192,MSR 0x198 via rdmsr; historical helper absent,V,derived from a model specific register,not preserved for historical traces,"Processed field is preserved, but the original helper interval was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_CORE_0,Auxiliary core label 0,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_CORE_1,Auxiliary core label 1,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_CORE_2,Auxiliary core label 2,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_CORE_3,Auxiliary core label 3,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_ACPI_1,Auxiliary ACPI label 1,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_ACPI_2,Auxiliary ACPI label 2,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_PCI_1,Auxiliary PCI label 1,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,TEMP_PCI_2,Auxiliary PCI label 2,Auxiliary temperature,Auxiliary operating temperature associated with the preserved column label,Historical chip and label mapping not preserved; restored collector uses lm-sensors sensors -u,degree Celsius,measured by an auxiliary temperature collector,not preserved for historical traces,"Processed field is preserved, but the original sensor chip and feature mapping was not recorded","Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.2_EXEC,System,EXEC,Instructions retired per nominal CPU cycle,Intel PCM CSV,ratio,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.3_IPC,System,IPC,Instructions retired per unhalted CPU cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.4_FREQ,System,FREQ,Unhalted clock ticks divided by invariant timer ticks,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.5_AFREQ,System,AFREQ,Unhalted clock ticks divided by invariant timer ticks while the core is in C0,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.6_CFREQ,System,CFREQ,Average active core frequency,Intel PCM CSV,GHz,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.7_L3MISS,System,L3MISS,L3 read cache misses during the reporting interval,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.8_L2MISS,System,L2MISS,L2 read cache misses during the reporting interval; the PCM definition may include hits in another core's L2,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.9_L3HIT,System,L3HIT,L3 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.10_L2HIT,System,L2HIT,L2 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.11_L3MPI,System,L3MPI,L3 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.12_L2MPI,System,L2MPI,L2 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.13_READ,System,READ,Bytes read from the memory controller during the reporting interval,Intel PCM CSV,GB,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.14_WRITE,System,WRITE,Bytes written to the memory controller during the reporting interval,Intel PCM CSV,GB,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.15_INST,System,INST,Retired instructions during the reporting interval,Intel PCM CSV,million instructions,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.16_ACYC,System,ACYC,Unhalted core cycles during the reporting interval,Intel PCM CSV,million cycles,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.17_TIME(ticks),System,TIME(ticks),Invariant timestamp counter ticks during the reporting interval,Intel PCM CSV,million ticks,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.18_PhysIPC,System,PhysIPC,Instructions retired per physical core cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.19_PhysIPC%,System,PhysIPC%,Physical core IPC as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.20_INSTnom,System,INSTnom,Total instruction execution rate normalized to nominal cycles,Intel PCM CSV,instructions/nominal cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.21_INSTnom%,System,INSTnom%,Normalized instruction execution rate as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Core C-States_C0res%,System core state aggregate,C0res%,Residency in processor power state C0 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Core C-States.1_C1res%,System core state aggregate,C1res%,Residency in processor power state C1 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Core C-States.2_C3res%,System core state aggregate,C3res%,Residency in processor power state C3 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Core C-States.3_C6res%,System core state aggregate,C6res%,Residency in processor power state C6 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Core C-States.4_C7res%,System core state aggregate,C7res%,Residency in processor power state C7 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Pack C-States_C0res%,System package state aggregate,C0res%,Residency in processor power state C0 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Pack C-States.1_C2res%,System package state aggregate,C2res%,Residency in processor power state C2 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Pack C-States.2_C4res%,System package state aggregate,C4res%,Residency in processor power state C4 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System Pack C-States.3_C6res%,System package state aggregate,C6res%,Residency in processor power state C6 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.22_Proc Energy (Joules),System,Proc Energy (Joules),Processor package energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.23_Power Plane 0 Energy (Joules),System,Power Plane 0 Energy (Joules),Power Plane 0 energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,System.24_Power Plane 1 Energy (Joules),System,Power Plane 1 Energy (Joules),Power Plane 1 energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0_EXEC,Socket 0,EXEC,Instructions retired per nominal CPU cycle,Intel PCM CSV,ratio,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.1_IPC,Socket 0,IPC,Instructions retired per unhalted CPU cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.2_FREQ,Socket 0,FREQ,Unhalted clock ticks divided by invariant timer ticks,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.3_AFREQ,Socket 0,AFREQ,Unhalted clock ticks divided by invariant timer ticks while the core is in C0,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.4_CFREQ,Socket 0,CFREQ,Average active core frequency,Intel PCM CSV,GHz,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.5_L3MISS,Socket 0,L3MISS,L3 read cache misses during the reporting interval,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.6_L2MISS,Socket 0,L2MISS,L2 read cache misses during the reporting interval; the PCM definition may include hits in another core's L2,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.7_L3HIT,Socket 0,L3HIT,L3 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.8_L2HIT,Socket 0,L2HIT,L2 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.9_L3MPI,Socket 0,L3MPI,L3 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
B,DDR5,Socket 0.10_L2MPI,Socket 0,L2MPI,L2 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
